Skill,Attribute
attacking,finishing
attacking,headingAccuracy
attacking,volleys
attacking,longShots
passing,crossing
passing,shortPassing
passing,longPassing
dribbling,dribbling
dribbling,ballControl
dribbling,curve
defending,marking
defending,standingTackle
defending,slidingTackle
defending,interceptions
physical,acceleration
physical,sprintSpeed
physical,agility
physical,balance
physical,jumping
physical,stamina
physical,strength
mental,aggression
mental,positioning
mental,vision
mental,composure
mental,reactions
